code,family,name,category_id,category_name,first_page,printed_page,pages,label,context
AT04-001,AT04,Attacchi gommone,accessori-inox,Accessori Inox,119,117,119,AT04-001 - CODICE · CODE COLORE · COLOUR  Nero · Black  Grigio · Grey ATTACCHI GOMMONE,for telescopic tubes. Pawl section: Ø6mm. DECK HINGES FOR INFLATABLE BOATS CODICE · CODE AT04-001 CODICE · CODE COLORE · COLOUR AT04-003 Nero · Black AT04-002 Grigio · Grey ATTACCHI GOMMONE
AT04-002,AT04,Attacchi gommone,accessori-inox,Accessori Inox,119,117,119,AT04-002 - Grigio · Grey ATTACCHI GOMMONE,FLATABLE BOATS CODICE · CODE AT04-001 CODICE · CODE COLORE · COLOUR AT04-003 Nero · Black AT04-002 Grigio · Grey ATTACCHI GOMMONE
AT04-003,AT04,Attacchi gommone,accessori-inox,Accessori Inox,119,117,119,AT04-003 - Nero · Black  Grigio · Grey ATTACCHI GOMMONE,mm. DECK HINGES FOR INFLATABLE BOATS CODICE · CODE AT04-001 CODICE · CODE COLORE · COLOUR AT04-003 Nero · Black AT04-002 Grigio · Grey ATTACCHI GOMMONE
AT05-001-22,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,118,116,118,"AT05-001-22 - 25 mm  Ø CODICE · CODE 22 mm  25 mm  T- 90° MICROFUSA Acciaio inox AISI 316, per tubo Ø da","m AT05-015-20 22 mm AT05-015-22 25 mm AT05-015-25 30 mm AT05-015-30 Ø CODICE · CODE 22 mm AT05-001-22 25 mm AT05-001-25 Ø CODICE · CODE 22 mm AT05-005-22 25 mm AT05-005-25 T- 90° MICROFUSA Acciaio inox AISI 316, per tubo Ø da 22mm a 40mm. TEE, 90° AIS"
AT05-001-25,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,118,116,118,"AT05-001-25 - Ø CODICE · CODE 22 mm  25 mm  T- 90° MICROFUSA Acciaio inox AISI 316, per tubo Ø da 22mm a","m AT05-015-22 25 mm AT05-015-25 30 mm AT05-015-30 Ø CODICE · CODE 22 mm AT05-001-22 25 mm AT05-001-25 Ø CODICE · CODE 22 mm AT05-005-22 25 mm AT05-005-25 T- 90° MICROFUSA Acciaio inox AISI 316, per tubo Ø da 22mm a 40mm. TEE, 90° AISI 316 stainless st"
AT05-002-20,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-002-20 - 22 mm  25 mm  30 mm  40 mm  CAPPUCCIO TERMINALE Acciaio inox AISI 316, per tubo Ø da 20mm","SLIDE WITH PIN AISI 316 stainless steel, for tube from Ø22 to 30mm. Ø CODICE · CODE 20 mm AT05-002-20 22 mm AT05-002-22 25 mm AT05-002-25 30 mm AT05-002-30 40 mm AT05-002-40 CAPPUCCIO TERMINALE Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. TOP CAP"
AT05-002-22,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-002-22 - 25 mm  30 mm  40 mm  CAPPUCCIO TERMINALE Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm.","I 316 stainless steel, for tube from Ø22 to 30mm. Ø CODICE · CODE 20 mm AT05-002-20 22 mm AT05-002-22 25 mm AT05-002-25 30 mm AT05-002-30 40 mm AT05-002-40 CAPPUCCIO TERMINALE Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. TOP CAP AISI 316 stainles"
AT05-002-25,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-002-25 - 30 mm  40 mm  CAPPUCCIO TERMINALE Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. TOP CA","eel, for tube from Ø22 to 30mm. Ø CODICE · CODE 20 mm AT05-002-20 22 mm AT05-002-22 25 mm AT05-002-25 30 mm AT05-002-30 40 mm AT05-002-40 CAPPUCCIO TERMINALE Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. TOP CAP AISI 316 stainless steel, for tube"
AT05-002-30,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-002-30 - 40 mm  CAPPUCCIO TERMINALE Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. TOP CAP AISI","Ø22 to 30mm. Ø CODICE · CODE 20 mm AT05-002-20 22 mm AT05-002-22 25 mm AT05-002-25 30 mm AT05-002-30 40 mm AT05-002-40 CAPPUCCIO TERMINALE Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. TOP CAP AISI 316 stainless steel, for tube from Ø20 to 40mm."
AT05-002-40,AT05,Accessori inox per tendalino,accessori-inox,Accessori Inox,117,115,117,"AT05-002-40 - CAPPUCCIO TERMINALE Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. TOP CAP AISI 316 sta","DICE · CODE 20 mm AT05-002-20 22 mm AT05-002-22 25 mm AT05-002-25 30 mm AT05-002-30 40 mm AT05-002-40 CAPPUCCIO TERMINALE Acciaio inox AISI 316, per tubo Ø da 20mm a 40mm. TOP CAP AISI 316 stainless steel, for tube from Ø20 to 40mm. Ø CODICE · CODE 20"
