codice;prezzo_eur_iva_esclusa;stato;origine;categoria;prodotto;variante;note
AN01-001;2,62;prezzo_definitivo;NETTUNO Price List 2025.pdf p.27;tappezzeria;Bordo, filato e velcro;AN01-001 - 23 CODICE · CODE MM  25 CODICE · CODE MM  25 CODICE · CODE  CODICE · CODE Ø  45 mm CODICE;
AN01-002;1,64;prezzo_definitivo;NETTUNO Price List 2025.pdf p.27;tappezzeria;Bordo, filato e velcro;AN01-002 - 25 CODICE · CODE  CODICE · CODE Ø  45 mm CODICE · CODE COLORE · COLOUR · H  20 mm  20 mm;
AN01-003;;rimandato;;tappezzeria;Bordo, filato e velcro;AN01-003 - 25 CODICE · CODE MM  25 CODICE · CODE  CODICE · CODE Ø  45 mm CODICE · CODE COLORE · COLOU;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN01-004-01;5,90;prezzo_definitivo;NETTUNO Price List 2025.pdf p.27;tappezzeria;Bordo, filato e velcro;AN01-004-01 - 450  3000 CODICE · CODE MT  3000 CODICE · CODE MM  23 CODICE · CODE MM  25 CODICE · CODE M;
AN01-004-02;30,41;prezzo_definitivo;NETTUNO Price List 2025.pdf p.27;tappezzeria;Bordo, filato e velcro;AN01-004-02 - 3000 CODICE · CODE MT  3000 CODICE · CODE MM  23 CODICE · CODE MM  25 CODICE · CODE MM  25;
AN01-005-02;;rimandato;;tappezzeria;Bordo, filato e velcro;AN01-005-02 - 3000 CODICE · CODE MM  23 CODICE · CODE MM  25 CODICE · CODE MM  25 CODICE · CODE  CODICE;Sezione Telai/Tubi/Tappezzeria da sistemare piu avanti.
AN01-007;15,49;prezzo_definitivo;NETTUNO Price List 2025.pdf p.27;tappezzeria;Bordo, filato e velcro;AN01-007 - CODICE · CODE Ø  45 mm CODICE · CODE COLORE · COLOUR · H  20 mm  20 mm  20 mm  20 mm  20 m;
AN01-008;1,77;prezzo_definitivo;NETTUNO Price List 2025.pdf p.27;tappezzeria;Bordo, filato e velcro;AN01-008 - 45 mm CODICE · CODE MT  450  3000 CODICE · CODE MT  3000 CODICE · CODE MM  23 CODICE · COD;
AN01-009;1,77;prezzo_definitivo;NETTUNO Price List 2025.pdf p.27;tappezzeria;Bordo, filato e velcro;AN01-009 - 45 mm CODICE · CODE COLORE · COLOUR · H  20 mm  20 mm  20 mm  20 mm  20 mm  30 mm  30 mm;
AN01-010;14,02;prezzo_definitivo;NETTUNO Price List 2025.pdf p.27;tappezzeria;Bordo, filato e velcro;AN01-010 - 20 mm  20 mm  20 mm  20 mm  20 mm  30 mm  30 mm  30 mm  30 mm  30 mm;
AN01-011;14,02;prezzo_definitivo;NETTUNO Price List 2025.pdf p.27;tappezzeria;Bordo, filato e velcro;AN01-011 - 20 mm  20 mm  20 mm  20 mm  30 mm  30 mm  30 mm  30 mm  30 mm  50 mm;
AN01-012;14,02;prezzo_definitivo;NETTUNO Price List 2025.pdf p.27;tappezzeria;Bordo, filato e velcro;AN01-012 - 20 mm  20 mm  20 mm  30 mm  30 mm  30 mm  30 mm  30 mm  50 mm  50 mm;
AN01-013;14,02;prezzo_definitivo;NETTUNO Price List 2025.pdf p.27;tappezzeria;Bordo, filato e velcro;AN01-013 - 20 mm  20 mm  30 mm  30 mm  30 mm  30 mm  30 mm  50 mm  50 mm  50 mm;
AN01-014;14,02;prezzo_definitivo;NETTUNO Price List 2025.pdf p.27;tappezzeria;Bordo, filato e velcro;AN01-014 - 20 mm  30 mm  30 mm  30 mm  30 mm  30 mm  50 mm  50 mm  50 mm  50 mm;
AN01-015;18,20;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Bordo, filato e velcro;AN01-015 - 30 mm  30 mm  30 mm  30 mm  30 mm  50 mm  50 mm  50 mm  50 mm  50 mm TAPE, TH;
AN01-016;18,20;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Bordo, filato e velcro;AN01-016 - 30 mm  30 mm  30 mm  30 mm  50 mm  50 mm  50 mm  50 mm  50 mm TAPE, THREAD, VELCRO BO;
AN01-017;18,20;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Bordo, filato e velcro;AN01-017 - 30 mm  30 mm  30 mm  50 mm  50 mm  50 mm  50 mm  50 mm TAPE, THREAD, VELCRO BORDO, FILATO;
AN01-018;18,20;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Bordo, filato e velcro;AN01-018 - 30 mm  30 mm  50 mm  50 mm  50 mm  50 mm  50 mm TAPE, THREAD, VELCRO BORDO, FILATO E VELCR;
AN01-019;18,20;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Bordo, filato e velcro;AN01-019 - 30 mm  50 mm  50 mm  50 mm  50 mm  50 mm TAPE, THREAD, VELCRO BORDO, FILATO E VELCRO;
AN01-020;23,77;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Bordo, filato e velcro;AN01-020 - 50 mm  50 mm  50 mm  50 mm  50 mm TAPE, THREAD, VELCRO BORDO, FILATO E VELCRO;
AN01-021;23,77;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Bordo, filato e velcro;AN01-021 - 50 mm  50 mm  50 mm  50 mm TAPE, THREAD, VELCRO BORDO, FILATO E VELCRO;
AN01-022;23,77;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Bordo, filato e velcro;AN01-022 - 50 mm  50 mm  50 mm TAPE, THREAD, VELCRO BORDO, FILATO E VELCRO;
AN01-023;23,77;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Bordo, filato e velcro;AN01-023 - 50 mm  50 mm TAPE, THREAD, VELCRO BORDO, FILATO E VELCRO;
AN01-024;23,77;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Bordo, filato e velcro;AN01-024 - 50 mm TAPE, THREAD, VELCRO BORDO, FILATO E VELCRO;
AN02-001;30,41;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-001 - CORDA ELASTICA E GANCI ELASTIC ROPE AND HOOKS;
AN02-002;30,41;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-002 - CORDA ELASTICA E GANCI ELASTIC ROPE AND HOOKS;
AN02-003;10,41;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-003 - CODICE · CODE    CODICE · CODE  CODICE · CODE   CORDA ELASTICA E GANCI ELASTIC ROPE AND HO;
AN02-004;33,61;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-004 - CODICE · CODE   CODICE · CODE  CODICE · CODE  CODICE · CODE    CODICE · CO;
AN02-005;33,61;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-005 - CODICE · CODE   CODICE · CODE  CODICE · CODE  CODICE · CODE    CODICE · CODE;
AN02-006;33,61;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-006 - CODICE · CODE   CODICE · CODE  CODICE · CODE  CODICE · CODE    CODICE · CODE  CODICE;
AN02-007;14,02;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-007 - CODICE · CODE  CODICE · CODE  CODICE · CODE    CODICE · CODE  CODICE · CODE;
AN02-008;14,02;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-008 - CODICE · CODE  CODICE · CODE  CODICE · CODE    CODICE · CODE  CODICE · CODE   CORDA;
AN02-009;16,80;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-009 - CODICE · CODE  CODICE · CODE   CORDA ELASTICA E GANCI ELASTIC ROPE AND HOOKS;
AN02-010;16,80;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-010 - CODICE · CODE  CODICE · CODE   CORDA ELASTICA E GANCI ELASTIC ROPE AND HOOKS;
AN02-011;16,80;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-011 - 07  CODICE · CODE  CODICE · CODE  CODICE · CODE    CODICE · CODE  CODICE · CODE   CORDA EL;
AN02-012;15,98;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-012 - CODICE · CODE   CORDA ELASTICA E GANCI ELASTIC ROPE AND HOOKS;
AN02-013-3;0,12;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-013-3 - 4 mm  5 mm  6 mm  8 mm  CONFEZIONE DI 20 GANCETTI CHIUSI In nylon per corda Ø 6-8mm. PACK;
AN02-013-4;0,15;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-013-4 - 5 mm  6 mm  8 mm  CONFEZIONE DI 20 GANCETTI CHIUSI In nylon per corda Ø 6-8mm. PACK OF 20;
AN02-013-5;0,16;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-013-5 - 6 mm  8 mm  CONFEZIONE DI 20 GANCETTI CHIUSI In nylon per corda Ø 6-8mm. PACK OF 20 NYLON;
AN02-013-6;0,24;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-013-6 - 8 mm  CONFEZIONE DI 20 GANCETTI CHIUSI In nylon per corda Ø 6-8mm. PACK OF 20 NYLON SMALL;
AN02-013-8;0,31;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-013-8 - CONFEZIONE DI 20 GANCETTI CHIUSI In nylon per corda Ø 6-8mm. PACK OF 20 NYLON SMALL CLOSED;
AN02-014;0,33;prezzo_definitivo;NETTUNO Price List 2025.pdf p.28;tappezzeria;Corda elastica e ganci;AN02-014 - CODICE · CODE  CODICE · CODE    CODICE · CODE  CODICE · CODE   CORDA ELASTICA E GANCI ELAS;
AN03-001;1,39;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-001 - BOTTONI, FUNGHETTI E TORNICHETTI SNAP FASTNERS, BUTTONS, TURN BUTTONS;
AN03-002;19,59;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-002 - CODICE · CODE  CODICE · CODE Ø  3,9 mm CODICE · CODE Ø A |  19 mm B |  12 mm CODICE · CODE;
AN03-003;5,98;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-003 - 40  60 A | B | CODICE · CODE;
AN03-004;9,59;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-004 - 60 A | B | CODICE · CODE;
AN03-005;1,80;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-005 - 3,9 mm CODICE · CODE Ø A |  19 mm B |  12 mm CODICE · CODE VL  40  60 A | B | CODICE · COD;
AN03-006;0,33;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-006 - 12 mm CODICE · CODE VL  40  60 A | B | CODICE · CODE;
AN03-007;0,33;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-007 - 19 mm B |  12 mm CODICE · CODE VL  40  60 A | B | CODICE · CODE;
AN03-008;2,71;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-008 - CODICE · CODE  CODICE · CODE  CODICE · CODE  CODICE · CODE  CODICE · CODE  CODICE · CODE;
AN03-009;2,71;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-009 - CODICE · CODE  CODICE · CODE  CODICE · CODE  CODICE · CODE  CODICE · CODE  CODICE · CODE;
AN03-010;6,72;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-010 - CODICE · CODE  CODICE · CODE  CODICE · CODE  CODICE · CODE  CODICE · CODE  CODICE · CODE;
AN03-011;6,39;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-011 - + PIATTINO INOX PER TORNICHETTI GROMMET + STEEL BACK PLATE FOR TURN BUTTONS CODICE · CODE;
AN03-012;6,39;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-012 - CODICE · CODE   CODICE · CODE  CODICE · CODE  CODICE · CODE  CODICE · CODE  CODICE · CODE;
AN03-013;0,98;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-013 - CODICE · CODE  CODICE · CODE  CODICE · CODE  CODICE · CODE Ø  3,9 mm CODICE · CODE Ø A;
AN03-014;2,05;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-014 - CODICE · CODE  CODICE · CODE  CODICE · CODE  CODICE · CODE  BOTTONI, FUNGHETTI E TORNICHET;
AN03-015;3,28;prezzo_definitivo;NETTUNO Price List 2025.pdf p.29;tappezzeria;Bottoni, funghetti e tornichetti;AN03-015 - CODICE · CODE  CODICE · CODE  CODICE · CODE  CODICE · CODE  CODICE · CODE  BOTTONI, FUNGHE;
